,filename,P_in,P_rec,N_cal,seed,loss,mean_hem1_ipsi,mean_hem1_contra,mean_hem2_ipsi,mean_hem2_contra,var_hem1_ipsi,var_hem1_contra,var_hem2_ipsi,var_hem2_contra,max_hem1_ipsi,max_hem1_contra,max_hem2_ipsi,max_hem2_contra,nb_hem1_ipsi_pref,nb_hem2_ipsi_pref
125,IpsiContra_In02_Rec07_Col10_s2.npz,0.2,0.7,10,2,0.016904138028621674,-0.08809628337621689,-0.07692562788724899,-0.09250566363334656,0.11378419399261475,0.10940580070018768,0.1666252464056015,0.07960759103298187,0.26357901096343994,0.10894634574651718,0.5459081530570984,0.03868265822529793,0.7917776703834534,8,0
126,IpsiContra_In02_Rec02_Col40_s0.npz,0.2,0.2,40,0,0.012082107365131378,-0.05358361080288887,-0.039245832711458206,-0.08716851472854614,-0.06359361112117767,0.11721743643283844,0.3909514546394348,0.1858610063791275,0.15455669164657593,0.26384156942367554,1.2294083833694458,0.4048627018928528,0.5369365215301514,2,8
127,IpsiContra_In05_Rec02_Col30_s0.npz,0.5,0.2,30,0,0.011023865081369877,-0.08344588428735733,-0.008716871961951256,-0.26631176471710205,-0.11574894189834595,0.13986040651798248,0.4224812090396881,0.3464413285255432,0.23960497975349426,0.3708084225654602,1.081795573234558,0.2816069722175598,0.4231829345226288,1,3
128,IpsiContra_In05_Rec02_Col30_s1.npz,0.5,0.2,30,1,0.010443156585097313,-0.06799165159463882,-0.017972499132156372,-0.05248870700597763,-0.07168702781200409,0.11792389303445816,0.19351314008235931,0.07162090390920639,0.16966645419597626,0.1360427737236023,0.43492257595062256,0.07465887814760208,0.34754982590675354,7,6
129,IpsiContra_In02_Rec02_Col40_s1.npz,0.2,0.2,40,1,0.00870509259402752,-0.023168783634901047,-0.07712128758430481,-0.08504016697406769,-0.08019492030143738,0.10334104299545288,0.19438272714614868,0.13482581079006195,0.24705003201961517,0.24013598263263702,0.5390336513519287,0.25653496384620667,0.5949214696884155,10,3
130,IpsiContra_In05_Rec05_Col30_s1.npz,0.5,0.5,30,1,0.00981943216174841,-0.11459839344024658,-0.02304614707827568,-0.1753615140914917,-0.03854791447520256,0.13582704961299896,0.3193453848361969,0.24293498694896698,0.20006759464740753,0.17899411916732788,0.8253732323646545,0.6025893092155457,0.7984080910682678,1,5
131,IpsiContra_In02_Rec05_Col40_s1.npz,0.2,0.5,40,1,0.011787614785134792,-0.16008469462394714,-0.1335688978433609,-0.1414017230272293,-0.05895083397626877,0.10451294481754303,0.2639845013618469,0.15993162989616394,0.267917275428772,0.12210952490568161,0.9993076324462891,0.23898331820964813,0.929799497127533,0,4
132,IpsiContra_In07_Rec07_Col20_s1.npz,0.7,0.7,20,1,0.00883545819669962,-0.10488073527812958,-0.08689939975738525,-0.13402937352657318,-0.08856210857629776,0.2871588170528412,0.26444146037101746,0.0816994458436966,0.1774146407842636,1.1369365453720093,0.5242115259170532,0.07025180757045746,0.5519664287567139,7,1
133,IpsiContra_In05_Rec10_Col30_s0.npz,0.5,1.0,30,0,0.00979519635438919,-0.1566586047410965,-0.10605752468109131,-0.12058396637439728,-0.12099368870258331,0.10943344235420227,0.18850776553153992,0.06752432137727737,0.20213466882705688,0.1945318579673767,0.515783965587616,0.05886653810739517,0.7475301623344421,3,2
134,IpsiContra_In02_Rec10_Col40_s0.npz,0.2,1.0,40,0,0.011074124835431576,-0.247967928647995,-0.18230250477790833,-0.2824168801307678,-0.16044554114341736,0.1299283802509308,0.3829169273376465,0.3057342767715454,0.21591830253601074,0.07870921492576599,1.1841564178466797,0.7324169874191284,0.7939013838768005,0,4
135,IpsiContra_In02_Rec10_Col40_s2.npz,0.2,1.0,40,2,0.0157187357544899,-0.10725636780261993,-0.15903635323047638,-0.002076613949611783,-0.12234828621149063,0.050145622342824936,0.18907451629638672,0.15754234790802002,0.14894729852676392,0.032541222870349884,0.8081754446029663,0.3510368764400482,0.40323930978775024,2,15
136,IpsiContra_In05_Rec10_Col30_s2.npz,0.5,1.0,30,2,0.017289569601416588,-0.09437113255262375,-0.08304564654827118,-0.19265052676200867,-0.11478765308856964,0.058295320719480515,0.22447575628757477,0.10143996775150299,0.15730097889900208,0.0004309809301048517,0.885057270526886,-0.003889514831826091,0.40766414999961853,3,0
137,IpsiContra_In02_Rec07_Col10_s1.npz,0.2,0.7,10,1,0.008858964778482914,-0.015436256304383278,-0.19586190581321716,0.010769195854663849,-0.07972422987222672,0.09024550020694733,0.18486075103282928,0.08198301494121552,0.1787412315607071,0.16136904060840607,0.30648499727249146,0.21410152316093445,0.5004097819328308,14,11
